KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.256,21.13523567,24.94636373,17.26835185,12.9434866,,0.5881,0.5385
0.26,21.09877385,24.91140873,17.2644477,12.93195863,,0.5879,0.5386
0.264,21.05862453,24.87818329,17.25847182,12.91892586,,0.5877,0.5387
0.268,21.01764852,24.84786441,17.25005936,12.90349128,,0.5875,0.5389
0.272,20.97663692,24.82258112,17.24044127,12.88479376,,0.5874,0.539
0.276,20.93680534,24.80494851,17.23139172,12.8630429,,0.5874,0.5392
0.28,20.89782644,24.79673813,17.22304853,12.83733886,,0.5874,0.5395
0.284,20.85917967,24.79913426,17.21603154,12.80637592,,0.5875,0.5399
0.288,20.82287181,24.8132851,17.21081852,12.77160653,,0.5876,0.5403
0.292,20.79086222,24.84017472,17.20682926,12.73538118,,0.5879,0.5407
0.296,20.76435477,24.88083256,17.20465488,12.69879901,,0.5882,0.5412
0.3,20.74324115,24.93534294,17.20599304,12.66302005,,0.5886,0.5418
0.304,20.72647046,24.99999098,17.21202405,12.62977843,,0.589,0.5423
0.308,20.71545515,25.07183571,17.223854,12.60097767,,0.5894,0.5429
0.312,20.71142836,25.15039151,17.24364527,12.57893712,,0.5897,0.5435
0.316,20.71194233,25.23092711,17.2724091,12.5657016,,0.59,0.544
