KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
14.144,27.46587816,21.35001165,13.38112023,15.26730795,,0.6102,0.4627
14.148,27.38453111,21.37342259,13.41043605,15.22814663,,0.6101,0.4635
14.152,27.29627569,21.39556807,13.44269289,15.19083481,,0.6098,0.4643
14.156,27.20371734,21.4138262,13.47592477,15.15707659,,0.6095,0.4651
14.16,27.10947811,21.42675281,13.5092157,15.12567681,,0.6092,0.4658
14.164,27.01199108,21.43649719,13.5429469,15.09497292,,0.6088,0.4666
14.168,26.91190695,21.44286513,13.57615253,15.06511967,,0.6084,0.4674
14.172,26.80980415,21.44476562,13.60876177,15.03655211,,0.608,0.4681
14.176,26.70497712,21.44368215,13.64335759,15.00975377,,0.6075,0.4688
14.18,26.60055975,21.43949348,13.67993862,14.98463036,,0.607,0.4695
14.184,26.50127808,21.43114368,13.71598516,14.9609447,,0.6064,0.4702
14.188,26.40756783,21.42075254,13.75025058,14.93917207,,0.6059,0.4708
14.192,26.3168106,21.41154361,13.78223505,14.91935988,,0.6054,0.4714
14.196,26.22972546,21.40479039,13.81147969,14.90042046,,0.6049,0.472
14.1999,26.14929536,21.4024312,13.83932832,14.88142992,,0.6045,0.4726
14.2039,26.07767866,21.40776585,13.86790394,14.86341537,,0.6042,0.4731
14.2079,26.01739745,21.42130258,13.89679767,14.84721563,,0.6039,0.4737
14.2119,25.97027751,21.4412245,13.92478986,14.83292973,,0.6037,0.4742
14.2159,25.93627867,21.46652618,13.95086496,14.8214317,,0.6036,0.4747
14.2199,25.91419723,21.49622129,13.97339194,14.81222513,,0.6035,0.4751
14.2239,25.90174822,21.52850503,13.99125297,14.80483969,,0.6035,0.4754
14.2279,25.89720505,21.56140468,14.00454531,14.80096069,,0.6036,0.4757
14.2319,25.89990772,21.59241354,14.01521869,14.80208929,,0.6036,0.4759
14.2359,25.90753068,21.62000171,14.02471267,14.80802481,,0.6037,0.476
14.24,25.91908419,21.64471759,14.03186703,14.81773195,,0.6037,0.4761
14.244,25.93683266,21.66673254,14.03555413,14.83068376,,0.6037,0.4761
14.248,25.96175559,21.6848268,14.03582979,14.84583017,,0.6038,0.476
14.252,25.9941934,21.69863916,14.03268139,14.86149103,,0.6039,0.4758
14.256,26.03341221,21.70958933,14.0262472,14.87626776,,0.6041,0.4756
14.26,26.07642266,21.718614,14.01663464,14.88911738,,0.6043,0.4754
14.264,26.12355042,21.72545321,14.00458155,14.90055387,,0.6045,0.4751
14.268,26.17705748,21.73056864,13.99141582,14.91194638,,0.6048,0.4748
14.272,26.23418418,21.73433951,13.976204,14.92399898,,0.605,0.4744
14.276,26.28973649,21.7353568,13.95850033,14.93666304,,0.6053,0.474
14.28,26.34228908,21.73232857,13.94012715,14.95002971,,0.6055,0.4736
14.284,26.39205613,21.72614706,13.92206383,14.96537692,,0.6057,0.4732
14.288,26.43744513,21.71827108,13.90462202,14.98318995,,0.6059,0.4728
14.292,26.4783356,21.70758643,13.88841773,15.00233031,,0.606,0.4724
14.296,26.51692656,21.69116474,13.873862,15.021252,,0.6061,0.472
14.3,26.55422446,21.66782164,13.8599258,15.03814382,,0.6061,0.4716
14.304,26.58885124,21.63745066,13.84543946,15.05445714,,0.6061,0.4711
14.308,26.61800793,21.59983255,13.8308972,15.07379629,,0.606,0.4707
14.312,26.64061747,21.55643931,13.81680549,15.09543091,,0.6059,0.4702
14.316,26.65809232,21.51091731,13.80370197,15.11650704,,0.6057,0.4697
14.3199,26.67122431,21.46740719,13.79326946,15.13660193,,0.6055,0.4693
14.3239,26.67935376,21.42834962,13.78621632,15.15538466,,0.6053,0.469
14.3279,26.6813466,21.39568844,13.78130838,15.17137656,,0.6051,0.4687
14.3319,26.67787888,21.3693006,13.77823191,15.18581887,,0.6049,0.4685
14.3359,26.67155956,21.34715179,13.77829276,15.20167435,,0.6047,0.4683
14.3399,26.66342765,21.3306424,13.78213772,15.2187084,,0.6044,0.4682
14.3439,26.65310605,21.32183954,13.78990744,15.23401424,,0.6042,0.4682
14.3479,26.64075125,21.32047435,13.80239476,15.24512042,,0.604,0.4683
14.3519,26.62653609,21.32661552,13.81986667,15.25158915,,0.6038,0.4684
14.3559,26.60938306,21.34078705,13.84204185,15.25427279,,0.6036,0.4687
14.3599,26.58869733,21.36162121,13.86862215,15.253958,,0.6034,0.469
14.3639,26.56487783,21.38562528,13.89846828,15.25216467,,0.6032,0.4694
14.3679,26.53642413,21.40857396,13.92992499,15.25077919,,0.603,0.4698
14.3719,26.50119587,21.42860059,13.96340014,15.25140995,,0.6027,0.4702
14.3759,26.45947038,21.44775046,14.001237,15.25534937,,0.6023,0.4707
14.3799,26.41389822,21.46634814,14.04361495,15.26242503,,0.6019,0.4711
14.3839,26.3658809,21.48137658,14.09035449,15.27089961,,0.6014,0.4716
14.3879,26.31411919,21.49075785,14.14238319,15.27967825,,0.6008,0.4721
14.3919,26.2584084,21.49352346,14.19794001,15.29092226,,0.6001,0.4726
14.3959,26.19766201,21.48952566,14.25474342,15.30770276,,0.5993,0.4731
14.4,26.12882793,21.47953463,14.31303204,15.33064444,,0.5985,0.4735
14.404,26.05152398,21.46387673,14.37328101,15.3582979,,0.5975,0.4739
14.408,25.965574,21.44257548,14.43528204,15.38817902,,0.5964,0.4744
14.412,25.86829549,21.41708315,14.5009154,15.41836464,,0.5952,0.4749
14.416,25.75853508,21.39070326,14.57457621,15.44822491,,0.594,0.4755
14.42,25.63904817,21.36703706,14.65769483,15.47698432,,0.5926,0.4762
14.424,25.51153233,21.3485347,14.74955008,15.50530882,,0.5912,0.477
14.428,25.37649275,21.33659678,14.85003227,15.53526209,,0.5897,0.4779
14.432,25.23890483,21.33213759,14.95647073,15.56660101,,0.5881,0.4788
14.436,25.103144,21.33542828,15.06836465,15.59925273,,0.5866,0.4799
14.44,24.97062353,21.34562698,15.18640905,15.63328848,,0.5851,0.4809
14.444,24.84501395,21.36160401,15.3049678,15.66554626,,0.5836,0.482
14.448,24.72919729,21.38296605,15.41867467,15.69316484,,0.5822,0.4831
14.452,24.6222387,21.40751001,15.52545837,15.71731104,,0.581,0.4841
14.456,24.52342977,21.43140299,15.62246401,15.74074395,,0.5799,0.485
14.46,24.43490684,21.45239275,15.70845317,15.76422909,,0.5789,0.4858
14.464,24.35856278,21.47004165,15.78498203,15.78783467,,0.578,0.4865
14.468,24.29457113,21.48418709,15.85292994,15.81145556,,0.5772,0.4871
14.472,24.24191124,21.49258465,15.91155253,15.83315978,,0.5765,0.4875
14.476,24.19804662,21.49283882,15.96104976,15.85243014,,0.5758,0.4879
14.4799,24.1603526,21.48509512,16.00104413,15.87200907,,0.5752,0.4881
14.4839,24.12732209,21.46984355,16.03104666,15.89274896,,0.5747,0.4883
14.4879,24.09912247,21.44876602,16.05465649,15.9124788,,0.5742,0.4883
14.4919,24.07606905,21.42452918,16.07489288,15.92989602,,0.5737,0.4883
14.4959,24.05672998,21.39754653,16.09056247,15.94519229,,0.5733,0.4883
14.4999,24.03901368,21.36853723,16.10059811,15.95857641,,0.573,0.4882
14.5039,24.02050502,21.34093265,16.10542325,15.96833456,,0.5727,0.4881
14.5079,23.99822577,21.31774429,16.10724777,15.97174299,,0.5724,0.4881
14.5119,23.97133739,21.29850178,16.10958037,15.96855647,,0.5722,0.4882
14.5159,23.93942389,21.28234781,16.11418437,15.95978291,,0.572,0.4883
14.52,23.89975815,21.27025079,16.1228419,15.94609169,,0.5718,0.4885
14.524,23.85073391,21.26190543,16.13877075,15.92891094,,0.5716,0.4889
14.528,23.79078679,21.25705744,16.16183341,15.90903402,,0.5712,0.4893
14.532,23.71281478,21.25831173,16.19336768,15.88499895,,0.5708,0.4899
14.536,23.60947793,21.26887285,16.23921137,15.85479246,,0.5703,0.4908
14.54,23.48289288,21.29001696,16.30017461,15.81797386,,0.5697,0.492
14.544,23.33607291,21.32272329,16.37529336,15.7747747,,0.569,0.4934
14.548,23.16802329,21.36891841,16.46524287,15.72520539,,0.5681,0.495
14.552,22.98419027,21.42868181,16.56696415,15.66900732,,0.5673,0.4969
14.556,22.78739236,21.50290029,16.6792582,15.60168092,,0.5664,0.499
14.56,22.57179045,21.5926268,16.80367805,15.51804441,,0.5656,0.5014
14.564,22.33835336,21.69296914,16.93700271,15.42073962,,0.5647,0.5041
14.568,22.08882515,21.8034982,17.07871559,15.31152845,,0.5638,0.507
14.572,21.82106789,21.93143347,17.23252559,15.18845014,,0.563,0.5102
14.576,21.5432471,22.07932383,17.39527408,15.05499914,,0.5622,0.5137
14.58,21.26764807,22.24543426,17.56038519,14.915713,,0.5615,0.5172
14.584,20.99779625,22.43413379,17.72862044,14.76930342,,0.561,0.5209
14.588,20.73342154,22.65354472,17.90472118,14.61249625,,0.5606,0.5248
14.592,20.48038803,22.90099068,18.08645142,14.44723137,,0.5605,0.5288
14.596,20.24635023,23.17480325,18.2725155,14.27938527,,0.5606,0.5329
14.5999,20.03560861,23.47919296,18.46573458,14.11563436,,0.5608,0.537
14.6039,19.8524663,23.80375097,18.66186488,13.96324169,,0.5612,0.541
14.6079,19.6966846,24.13104235,18.85530687,13.82658678,,0.5617,0.5447
14.6119,19.56044176,24.44791999,19.04271935,13.70639349,,0.5621,0.5481
14.6159,19.43671257,24.74109047,19.21790798,13.60251735,,0.5625,0.5512
14.6199,19.32375104,24.99832365,19.37590282,13.51535567,,0.5627,0.554
14.6239,19.21796487,25.21151916,19.51695913,13.44444197,,0.5627,0.5563
14.6279,19.11354783,25.37891965,19.64297335,13.38776259,,0.5626,0.5583
14.6319,19.01072072,25.5038839,19.75363096,13.34333784,,0.5623,0.5601
14.6359,18.91085025,25.59109665,19.84871709,13.30856737,,0.5619,0.5615
14.6399,18.81356299,25.64732422,19.93004744,13.28006697,,0.5613,0.5627
14.6439,18.72248219,25.68234323,19.99974617,13.25548313,,0.5608,0.5637
14.6479,18.64106783,25.70615699,20.06050998,13.23309739,,0.5603,0.5646
14.6519,18.56942469,25.7266841,20.1149412,13.21189489,,0.5598,0.5654
14.6559,18.50632438,25.74867316,20.16356103,13.19209411,,0.5595,0.5662
14.6599,18.45085966,25.77324443,20.2059348,13.17439867,,0.5592,0.5668
14.6639,18.40380193,25.80010775,20.24289839,13.15895831,,0.5589,0.5674
14.6679,18.3646666,25.82928572,20.27661294,13.14458389,,0.5588,0.5679
14.6719,18.33143493,25.85965629,20.30772399,13.13058697,,0.5586,0.5684
14.6759,18.30480215,25.8909665,20.33529963,13.11855946,,0.5586,0.5689
14.68,18.28757741,25.92403704,20.35828294,13.11000655,,0.5586,0.5692
14.684,18.28151652,25.95745163,20.37430595,13.10431529,,0.5586,0.5695
14.688,18.28671947,25.98841746,20.38000468,13.10094722,,0.5588,0.5696
14.692,18.30253639,26.01280994,20.37315795,13.09984396,,0.559,0.5696
14.696,18.32785374,26.02653156,20.35396193,13.10037243,,0.5593,0.5694
14.7,18.36007004,26.027999,20.32466191,13.10222774,,0.5596,0.5691
14.704,18.39552041,26.01623603,20.28677095,13.10622067,,0.56,0.5687
14.708,18.43071311,25.99086361,20.24068402,13.11319063,,0.5603,0.5682
14.712,18.46332509,25.95409194,20.18924743,13.12245146,,0.5605,0.5677
14.716,18.49494927,25.91041212,20.13629791,13.1336935,,0.5607,0.5671
14.72,18.52826458,25.86553334,20.08399525,13.14698409,,0.5609,0.5664
14.724,18.56267622,25.82433211,20.03476785,13.16086062,,0.5611,0.5658
14.728,18.59623819,25.78941945,19.99105616,13.17337334,,0.5613,0.5653
14.732,18.62686853,25.76131661,19.95356409,13.18288816,,0.5615,0.5648
14.736,18.65386714,25.74023048,19.92176301,13.18914117,,0.5616,0.5644
14.74,18.67649215,25.72906587,19.89582404,13.19169755,,0.5618,0.5641
14.744,18.69367344,25.73091567,19.87712626,13.18819018,,0.5621,0.564
14.748,18.70712444,25.74438078,19.86586112,13.17800487,,0.5623,0.564
14.752,18.71808896,25.76596068,19.86048401,13.16454998,,0.5626,0.5641
14.756,18.72624978,25.79393829,19.85879854,13.15011064,,0.5629,0.5642
14.7599,18.73130493,25.82787748,19.85878815,13.13379414,,0.5632,0.5644
14.7639,18.73291477,25.86612225,19.85901998,13.1170258,,0.5634,0.5646
14.7679,18.7323976,25.90591058,19.85840584,13.10087109,,0.5637,0.5649
14.7719,18.73167222,25.94603989,19.85659599,13.08231017,,0.564,0.5651
14.7759,18.73054079,25.98658703,19.85422323,13.05965011,,0.5644,0.5654
14.7799,18.72918463,26.02798327,19.85168095,13.03417466,,0.5647,0.5657
14.7839,18.72990363,26.07058455,19.84792349,13.00655367,,0.5651,0.566
14.7879,18.73299041,26.11341127,19.84129921,12.97735462,,0.5656,0.5663
14.7919,18.73645809,26.15504423,19.83180009,12.94886587,,0.566,0.5665
14.7959,18.74055275,26.19544752,19.82053581,12.92297642,,0.5665,0.5667
14.7999,18.7471609,26.23548931,19.80641442,12.89999012,,0.5669,0.5669
14.8039,18.75688053,26.2749916,19.78746161,12.87924087,,0.5674,0.5671
14.8079,18.77056625,26.31253309,19.76465853,12.86007075,,0.5679,0.5672
14.8119,18.78888478,26.34659528,19.74027278,12.84233392,,0.5684,0.5672
14.8159,18.8111714,26.37670511,19.71436707,12.82643605,,0.5689,0.5672
14.8199,18.83877991,26.40203108,19.68548635,12.81399322,,0.5694,0.5671
14.8239,18.87407113,26.42114874,19.65221759,12.80578902,,0.5699,0.5669
14.8279,18.91569421,26.4352011,19.61358678,12.80064633,,0.5704,0.5666
14.8319,18.96072832,26.44656639,19.56985243,12.79698988,,0.571,0.5662
14.8359,19.00984556,26.45414299,19.5191475,12.79232748,,0.5716,0.5658
14.84,19.064239,26.45419884,19.45702558,12.78453127,,0.5723,0.5653
14.844,19.12287778,26.44590805,19.38301004,12.77531508,,0.5731,0.5647
14.848,19.18686943,26.43124916,19.29744135,12.76677763,,0.5739,0.5641
14.852,19.2577906,26.41096596,19.19880608,12.75735635,,0.5748,0.5633
14.856,19.33455538,26.38486914,19.08874052,12.74554012,,0.5758,0.5624
14.86,19.42201706,26.35390537,18.96549053,12.73022082,,0.577,0.5614
14.864,19.52908601,26.31936893,18.82284234,12.70965081,,0.5783,0.5602
14.868,19.65532822,26.28244301,18.66293587,12.68536248,,0.5799,0.5589
14.872,19.80168797,26.24484978,18.48785541,12.66184051,,0.5817,0.5574
14.876,19.97520529,26.207391,18.29352892,12.64210197,,0.5837,0.5557
14.8799,20.17342524,26.169407,18.08480519,12.62713901,,0.5859,0.5537
14.8839,20.38790654,26.13024233,17.8708664,12.6187495,,0.5881,0.5516
14.8879,20.61929694,26.08775588,17.65042286,12.61916493,,0.5904,0.5493
14.8919,20.87236875,26.03751329,17.41806775,12.62824094,,0.5928,0.5467
14.8959,21.1410034,25.97701862,17.17784322,12.64488142,,0.5952,0.544
14.8999,21.41981199,25.90227848,16.9342569,12.67065147,,0.5975,0.5411
14.9039,21.70970911,25.80690589,16.68724404,12.7075127,,0.5998,0.5379
14.9079,22.00345294,25.69182256,16.44312033,12.75340487,,0.6019,0.5347
14.9119,22.29462601,25.55909156,16.20735753,12.80586165,,0.6038,0.5313
14.9159,22.58256508,25.40788351,15.9797657,12.8639679,,0.6055,0.5279
14.9199,22.86126151,25.24397837,15.76224762,12.92550885,,0.6071,0.5246
14.9239,23.12338861,25.07654558,15.55844484,12.98983086,,0.6084,0.5213
14.9279,23.36783262,24.90953408,15.37090262,13.05894492,,0.6096,0.5181
14.9319,23.59726784,24.74388646,15.20043956,13.13310372,,0.6105,0.5151
14.9359,23.81126463,24.5843748,15.0477438,13.20852729,,0.6112,0.5123
14.9399,24.0104024,24.43408425,14.91256114,13.28382657,,0.6119,0.5097
14.9439,24.19833652,24.29189934,14.79322696,13.3618319,,0.6123,0.5072
14.9479,24.37316746,24.16063497,14.68975693,13.44132615,,0.6127,0.5049
14.9519,24.53360323,24.04204893,14.60075811,13.51948029,,0.6129,0.5028
14.9559,24.68362886,23.93298,14.52301365,13.59669869,,0.6131,0.5008
14.96,24.82458586,23.83193274,14.4557865,13.67301162,,0.6132,0.499
14.964,24.95504043,23.73862651,14.39912486,13.74758996,,0.6132,0.4973
14.968,25.07555715,23.65061035,14.35151998,13.82330346,,0.6132,0.4958
14.972,25.18912815,23.56539307,14.31153753,13.90353655,,0.613,0.4943
14.976,25.2976201,23.48415162,14.27918861,13.98522045,,0.6128,0.4929
14.98,25.40332179,23.40761226,14.25332038,14.06566674,,0.6125,0.4915
14.984,25.51054403,23.33347297,14.23043531,14.14628418,,0.6122,0.4902
14.988,25.61870355,23.26119209,14.20751458,14.22520366,,0.612,0.4889
14.992,25.72522657,23.18835833,14.18182345,14.30047916,,0.6118,0.4876
14.996,25.83015017,23.11042021,14.15125784,14.37355018,,0.6116,0.4863
15,25.93139931,23.02852186,14.11663649,14.44446722,,0.6114,0.4849
15.004,26.02755615,22.94639821,14.08029423,14.51293025,,0.6113,0.4836
15.008,26.12031616,22.86416644,14.04270069,14.57863919,,0.6111,0.4823
15.012,26.21030075,22.78004184,14.0030953,14.6401079,,0.611,0.4811
15.016,26.29620306,22.69449116,13.96310333,14.69711475,,0.6109,0.4798
15.02,26.37709727,22.60939927,13.92451449,14.75148966,,0.6107,0.4786
15.024,26.45301667,22.52630757,13.88721324,14.8050488,,0.6106,0.4775
15.028,26.52334244,22.44781633,13.85202446,14.85702019,,0.6104,0.4764
15.032,26.5881001,22.37585908,13.81962257,14.90470512,,0.6103,0.4754
15.036,26.64895217,22.30995857,13.78873056,14.94654256,,0.6102,0.4744
15.0399,26.70613843,22.24826166,13.75896376,14.98354159,,0.6101,0.4736
15.0439,26.75830219,22.18945897,13.73148238,15.01737957,,0.6101,0.4728
15.0479,26.80449264,22.13330264,13.70670736,15.04926869,,0.61,0.472
15.0519,26.84370928,22.07889306,13.68457226,15.08050352,,0.6099,0.4714
15.0559,26.8748865,22.02586296,13.66620578,15.11070243,,0.6097,0.4707
15.0599,26.8978604,21.97395422,13.65288165,15.13815317,,0.6095,0.4702
15.0639,26.9129228,21.92241805,13.64545009,15.16213578,,0.6092,0.4697
15.0679,26.92043674,21.87277561,13.64448156,15.18231341,,0.6089,0.4694
15.0719,26.92001603,21.82564855,13.6468243,15.1987964,,0.6086,0.4691
15.0759,26.91056195,21.77968702,13.64742294,15.21194082,,0.6083,0.4688
15.0799,26.89222898,21.73517559,13.64624587,15.2212645,,0.608,0.4686
15.0839,26.86421977,21.69188019,13.64437796,15.22463105,,0.6077,0.4685
15.0879,26.82459258,21.64823849,13.64012109,15.21985539,,0.6074,0.4684
15.0919,26.77485536,21.60457896,13.63430081,15.20790314,,0.6071,0.4685
15.0959,26.71791996,21.56335621,13.62879455,15.19016057,,0.6069,0.4685
15.0999,26.65290122,21.52692851,13.62429123,15.16608114,,0.6067,0.4687
15.1039,26.57725341,21.49706264,13.62250061,15.13521487,,0.6065,0.469
15.1079,26.49186304,21.47622337,13.6253476,15.09841789,,0.6062,0.4694
15.1119,26.39737532,21.46654495,13.6350214,15.05726834,,0.606,0.47
15.1159,26.29232922,21.46821307,13.65453946,15.01305942,,0.6058,0.4708
15.12,26.17945592,21.48114484,13.68520947,14.96657595,,0.6055,0.4717
15.124,26.06276399,21.50662729,13.72739428,14.91784818,,0.6051,0.4728
15.128,25.9434447,21.54524514,13.78215355,14.86698414,,0.6048,0.474
15.132,25.82294028,21.59528343,13.84784417,14.81539978,,0.6044,0.4753
15.136,25.70334514,21.65412542,13.92105399,14.76462212,,0.604,0.4768
15.14,25.58409252,21.72042457,14.00127052,14.71604801,,0.6035,0.4782
15.144,25.46180328,21.79384365,14.08924777,14.67184826,,0.603,0.4798
15.148,25.33599869,21.87138063,14.18276511,14.63381359,,0.6024,0.4814
15.152,25.207001,21.94871977,14.28057051,14.60227627,,0.6018,0.483
15.156,25.07292184,22.02474385,14.38336413,14.57623534,,0.601,0.4846
15.16,24.93551132,22.10103893,14.48784219,14.55320562,,0.6002,0.4862
15.164,24.79978826,22.18137952,14.59381849,14.53080834,,0.5993,0.4879
15.168,24.66939014,22.26908763,14.70541014,14.50900074,,0.5985,0.4895
15.172,24.54635799,22.3617899,14.8204785,14.4885567,,0.5978,0.4912
15.176,24.432861,22.45523256,14.93379009,14.47049744,,0.597,0.4928
15.18,24.33107019,22.54974783,15.04333035,14.45578945,,0.5964,0.4944
15.184,24.24113289,22.64691299,15.14887792,14.44478459,,0.5957,0.4958
15.188,24.16178989,22.74399744,15.24845249,14.43804476,,0.5952,0.4971
15.192,24.09110306,22.83769001,15.34035896,14.4337888,,0.5947,0.4984
15.196,24.0268018,22.92650153,15.42438773,14.42887793,,0.5943,0.4995
15.1999,23.96940755,23.00684499,15.49940575,14.42353844,,0.5939,0.5005
15.2039,23.92127123,23.07627637,15.5638827,14.41995126,,0.5936,0.5014
15.2079,23.88348238,23.13588604,15.61574666,14.41754625,,0.5933,0.5021
15.2119,23.85649327,23.18702589,15.65454349,14.41401382,,0.5932,0.5027
15.2159,23.84114817,23.23092104,15.68199703,14.40960621,,0.5932,0.5031
15.2199,23.83856144,23.27117915,15.69903942,14.40528377,,0.5933,0.5034
15.2239,23.84798802,23.31146213,15.70608069,14.40048015,,0.5934,0.5036
15.2279,23.8661809,23.34979689,15.70487043,14.39530814,,0.5937,0.5037
15.2319,23.89093386,23.38243433,15.69757868,14.39134417,,0.5941,0.5037
15.2359,23.92194495,23.40916336,15.6846012,14.38893268,,0.5944,0.5037
15.24,23.95706239,23.43098878,15.66561373,14.38542826,,0.5948,0.5035
15.244,23.99390071,23.44717382,15.64160684,14.38091178,,0.5952,0.5033
15.248,24.03261804,23.45673859,15.61451178,14.37935884,,0.5956,0.5031
15.252,24.07266602,23.46023899,15.58689024,14.38098838,,0.596,0.5028
15.256,24.11254051,23.45854619,15.56076882,14.383009,,0.5963,0.5024
15.26,24.1510883,23.45255788,15.53650205,14.38497978,,0.5966,0.5021
15.264,24.1864195,23.44221622,15.51431753,14.38806087,,0.5968,0.5018
15.268,24.21616795,23.42623271,15.49337168,14.39154225,,0.597,0.5015
15.272,24.23822239,23.40415834,15.47213966,14.39479095,,0.5971,0.5011
15.276,24.25137973,23.37675406,15.45166715,14.39957025,,0.5971,0.5008
15.28,24.25668102,23.34547305,15.43383764,14.40645321,,0.5971,0.5005
15.284,24.25506492,23.31162559,15.41971739,14.41367744,,0.597,0.5003
15.288,24.2453169,23.27603208,15.41134239,14.41935822,,0.5968,0.5001
15.292,24.22673324,23.23915893,15.41061967,14.42455293,,0.5966,0.5
15.296,24.19712573,23.20222519,15.4173819,14.43088452,,0.5962,0.5
15.3,24.15237924,23.16848442,15.43195044,14.43540307,,0.5957,0.5001
15.304,24.09184049,23.14083911,15.45744442,14.43541742,,0.5952,0.5003
15.308,24.0173334,23.12118947,15.49630934,14.43293644,,0.5945,0.5008
15.312,23.92662961,23.11214961,15.55051183,14.42960255,,0.5938,0.5014
15.316,23.81515803,23.11585549,15.62331408,14.42269356,,0.5929,0.5024
15.3199,23.68403345,23.13264398,15.71443649,14.40845679,,0.5919,0.5035
15.3239,23.53356344,23.16351339,15.82231155,14.38653931,,0.5908,0.505
15.3279,23.36199156,23.21117825,15.94668696,14.35840959,,0.5896,0.5068
15.3319,23.17542121,23.27603025,16.08480271,14.32528354,,0.5884,0.5087
15.3359,22.97883727,23.35889584,16.23532283,14.28798158,,0.5871,0.5109
15.3399,22.77330654,23.46127301,16.39800466,14.24650557,,0.5859,0.5133
15.3439,22.56494676,23.57852022,16.56785555,14.20160494,,0.5846,0.5159
15.3479,22.3601277,23.70286818,16.73873486,14.15401555,,0.5835,0.5184
15.3519,22.15771851,23.83038125,16.9082796,14.10231228,,0.5824,0.521
15.3559,21.95293264,23.96010412,17.07601514,14.04476835,,0.5813,0.5236
15.3599,21.7466653,24.087915,17.23864151,13.98145517,,0.5803,0.5262
15.3639,21.53931799,24.21199803,17.39458171,13.91069707,,0.5794,0.5289
15.3679,21.32778999,24.3376292,17.54766013,13.82971784,,0.5785,0.5315
15.3719,21.1144104,24.4676691,17.69901384,13.74129807,,0.5777,0.5343
15.3759,20.9002488,24.60557946,17.84766713,13.64665372,,0.577,0.5371
15.3799,20.68341271,24.75840258,17.99552726,13.54358703,,0.5765,0.54
15.3839,20.46852445,24.92576456,18.14274842,13.43584414,,0.576,0.543
15.3879,20.25987295,25.10800224,18.29095838,13.32498252,,0.5756,0.5461
15.3919,20.05817014,25.31096324,18.44473853,13.2089004,,0.5754,0.5492
15.3959,19.86739897,25.53140311,18.60148576,13.09108106,,0.5753,0.5524
15.4,19.6901912,25.75919362,18.75441728,12.97633497,,0.5753,0.5555
15.404,19.52452676,25.98947723,18.90295672,12.86555896,,0.5753,0.5584
15.408,19.3678956,26.22005085,19.04938879,12.75752902,,0.5754,0.5614
15.412,19.219883,26.44236431,19.18993654,12.65414966,,0.5755,0.5641
15.416,19.08014079,26.64822016,19.32167165,12.55762963,,0.5756,0.5667
15.42,18.94710229,26.83428722,19.44608992,12.46685308,,0.5756,0.5691
15.424,18.82057341,26.99668126,19.55981201,12.38355187,,0.5755,0.5713
15.428,18.70207881,27.13360092,19.65848034,12.31205646,,0.5755,0.5733
15.432,18.59126084,27.2452617,19.74346045,12.25192068,,0.5753,0.5749
15.436,18.48536603,27.33331326,19.81835951,12.19831003,,0.5751,0.5764
15.44,18.38533712,27.40304583,19.88492889,12.1493259,,0.5748,0.5778
15.444,18.29531599,27.4587363,19.94407142,12.106772,,0.5746,0.5789
15.448,18.21783797,27.50194576,19.99709238,12.07233764,,0.5743,0.5799
15.452,18.15245469,27.5340375,20.04382473,12.04574454,,0.574,0.5807
15.456,18.09608757,27.55595409,20.08398717,12.02495032,,0.5737,0.5814
15.46,18.04835486,27.56887819,20.11836002,12.00813559,,0.5735,0.5819
15.464,18.01215113,27.57502735,20.14714047,11.99497106,,0.5732,0.5823
15.468,17.987087,27.57536948,20.16819846,11.98671559,,0.573,0.5826
15.472,17.97146212,27.56845855,20.17794272,11.98425287,,0.5729,0.5827
15.476,17.96664253,27.55334943,20.17503793,11.9861781,,0.5728,0.5827
15.4799,17.97404871,27.52998324,20.15902483,11.99142288,,0.5728,0.5825
15.4839,17.99748916,27.49575602,20.12734986,12.00199733,,0.5729,0.582
15.4879,18.04151234,27.44739324,20.07880996,12.02021327,,0.5731,0.5813
15.4919,18.10293579,27.38552063,20.0165147,12.04539172,,0.5733,0.5804
15.4959,18.17894905,27.30898065,19.94264868,12.07707903,,0.5736,0.5792
15.4999,18.27207195,27.21369499,19.85626123,12.11764584,,0.5739,0.5778
