KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-40.933
Lateral Mean Cop Position (mm),4.355
Longitudinal Standard Deviation (mm),10.014
Lateral Standard Deviation (mm),8.497
Ellipse Surface (mm²),1578.395
Total Displacement (mm),3799.898
Total Displacement AP (mm),2349.621
Total Displacement ML (mm),2568.208
Mean Velocity (mm/s),63.252
Mean Velocity AP (mm/s),39.111
Mean Velocity ML (mm/s),42.749
Longitudinal Amplitude (mm/s),59.808
Lateral Amplitude (mm/s),40.181
Amplitude Ratio,0.672
Phase Plane AP (mm),54.535
Phase Plane ML (mm),42.413
Max Distance AP (mm),74.865
Max Distance ML (mm),27.103
,Heel,Tip
Weight Distribution (%),64.0,36.0

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.316,23.374046210014406,24.023209333829541,15.800921647015418,12.971336257744797,,0.6035,0.5165,
0.32010000002384187,23.438862174790309,24.092500789644021,15.796666410977831,12.970303816504327,,0.6041,0.5165,
0.32410000002384187,23.503995912543246,24.167858662475716,15.793659817055341,12.966472946210803,,0.6048,0.5165,
0.3281000000238419,23.567813467320079,24.248685238078409,15.792055426341262,12.959623870415898,,0.6054,0.5166,
0.3321000000238419,23.629208239899235,24.331607691940498,15.791417904850608,12.950845368390084,,0.6061,0.5167,
0.3361000000238419,23.687605128629787,24.416375928221989,15.789947991421725,12.940352800167457,,0.6068,0.5168,
0.34010000002384183,23.742367920981639,24.504769323755468,15.786839691846557,12.926904248959573,,0.6075,0.5170,
0.34410000002384183,23.793340232914112,24.593934165847354,15.782252554169203,12.911477565671131,,0.6082,0.5172,
0.34810000002384184,23.841697395468707,24.681441266523581,15.776220489806541,12.894885779478166,,0.6089,0.5174,
0.35210000002384184,23.888994747088283,24.767965478938422,15.769770058013282,12.875127473850473,,0.6096,0.5176,
0.35610000002384185,23.936053341525849,24.851269126989845,15.765519467050627,12.851930762039377,,0.6103,0.5179,
0.36010000002384185,23.982150378771330,24.929711614402034,15.764892748626481,12.827632727790046,,0.6110,0.5181,
0.36410000002384185,24.025215813670677,25.003997986256607,15.765071920528367,12.805596970146533,,0.6116,0.5183,
0.36810000002384186,24.063461318025333,25.070931290537210,15.761793221805707,12.787853130581802,,0.6122,0.5185,
0.37210000002384186,24.095637441242467,25.126762925824508,15.754251856915467,12.773718362471614,,0.6127,0.5186,
0.37610000002384186,24.121213908528681,25.172545589179990,15.744669008450666,12.762984771168757,,0.6131,0.5187,
0.38010000002384187,24.140516733868598,25.210255879379016,15.735309767249444,12.755513209932094,,0.6135,0.5188,
0.38410000002384187,24.153941438020198,25.238176848461571,15.726672108300013,12.748303609190859,,0.6137,0.5188,
0.3881000000238419,24.160183138280004,25.253083522889312,15.717280436905384,12.738335348472386,,0.6140,0.5189,
0.3921000000238419,24.157956691806632,25.254976409819097,15.705666064524127,12.725830447380709,,0.6141,0.5189,
0.3961000000238419,24.148691901014256,25.246540217328732,15.692314638774445,12.712522472237120,,0.6142,0.5189,
0.4,24.132880368787049,25.229857678744047,15.676732114449710,12.699259638676505,,0.6143,0.5189,
0.404,24.109383200861643,25.207363360795650,15.658028266341907,12.685276371328715,,0.6143,0.5189,
0.408,24.079610856978434,25.182248304550107,15.639657215600003,12.669843216813666,,0.6144,0.5190,
0.412,24.047478933384987,25.156427532235305,15.625119499435451,12.654010843153683,,0.6143,0.5190,
0.416,24.014722785933898,25.131657185438534,15.612703743464051,12.637776257818061,,0.6143,0.5191,
0.42,23.980977692097689,25.110589775777044,15.599800682860689,12.619217270704475,,0.6143,0.5192,
0.424,23.948666448605181,25.095280080990179,15.588234405208759,12.598425957666642,,0.6143,0.5193,
0.428,23.919974796594282,25.084315335835683,15.581018099285588,12.577141412154655,,0.6144,0.5195,
0.432,23.893238408825436,25.074604740313227,15.578372076103106,12.557353213100004,,0.6144,0.5197,
0.436,23.865096032958640,25.066129428315698,15.579474520888542,12.540960221048229,,0.6144,0.5199,
0.44010000002384186,23.831221002954795,25.060459345641043,15.584647755331130,12.527094852297479,,0.6143,0.5201,
0.44410000002384187,23.788900325786667,25.057013552417644,15.595240610104385,12.513960720012374,,0.6141,0.5204,
0.44810000002384187,23.739353107765396,25.053889745544307,15.611500658245092,12.502031586182728,,0.6139,0.5208,
0.4521000000238419,23.685622834056758,25.051398536871318,15.632718826647096,12.491993209101695,,0.6135,0.5212,
0.4561000000238419,23.628859318279900,25.052836921075233,15.660210077727911,12.482957280610631,,0.6132,0.5216,
0.4601000000238419,23.567776104087123,25.061079448501040,15.695808638810369,12.472735482592366,,0.6128,0.5222,
0.4641000000238419,23.501876259686128,25.075683770778383,15.738029661184715,12.459910588459874,,0.6124,0.5228,
0.46810000002384183,23.429567338344661,25.095978005026822,15.785357590221818,12.445574274740268,,0.6120,0.5236,
0.47210000002384184,23.347754869982214,25.122486476711245,15.838836043225156,12.430662558060979,,0.6115,0.5244,
0.47610000002384184,23.257791788351575,25.153719621200882,15.897541508239913,12.414832538088202,,0.6109,0.5253,
0.48010000002384184,23.162783825395952,25.188106566407541,15.958904516576412,12.398984902718539,,0.6104,0.5263,
0.48410000002384185,23.063192360166447,25.226001027229280,16.022307688002424,12.383974165589068,,0.6098,0.5273,
0.48810000002384185,22.960349541385622,25.266611714671463,16.087454431374802,12.368684431940233,,0.6092,0.5284,
0.49210000002384185,22.856498690094156,25.307288653142798,16.153180094021891,12.352244106900393,,0.6086,0.5295,
0.49610000002384186,22.750031643096357,25.345095900764505,16.219843815000040,12.335091861342850,,0.6079,0.5305,
0.5001000000238418,22.636414566394940,25.378281321031203,16.289642469319933,12.316981133053169,,0.6072,0.5317,
0.5041000000238418,22.515293594070187,25.407667006789616,16.363139918058952,12.297165025949399,,0.6065,0.5328,
0.5081000000238418,22.388898731916793,25.434105977093488,16.441320602908444,12.277146860408696,,0.6057,0.5340,
0.5121000000238418,22.258232528092972,25.456573215748733,16.526885050199862,12.259303839978614,,0.6048,0.5353,
0.5161000000238418,22.126419494974940,25.475292751168610,16.617524002347736,12.244395163936078,,0.6038,0.5365,
0.52,21.994669804498159,25.494823738610236,16.709609835617762,12.232264404405505,,0.6027,0.5377,
0.524,21.860860634287391,25.520676636397386,16.803636532873988,12.221597329630853,,0.6017,0.5390,
0.528,21.727839749475752,25.553095848149830,16.897716716595284,12.210377251824539,,0.6007,0.5403,
0.532,21.599638697140357,25.590355198566922,16.989585153170729,12.197716441379171,,0.5998,0.5415,
0.536,21.475564810238755,25.631813108999019,17.081397859047510,12.183987957117896,,0.5989,0.5428,
0.54,21.356508651563985,25.675113289223454,17.174150468436228,12.172211972425067,,0.5980,0.5441,
0.544,21.245785906452703,25.719193264759920,17.265783493600324,12.165812900389202,,0.5972,0.5453,
0.548,21.143312548080978,25.765716020700836,17.355272919853512,12.162798599732589,,0.5963,0.5464,
0.552,21.046537821085153,25.815180449807098,17.443679604821128,12.160211328121147,,0.5956,0.5475,
0.556,20.953962053287686,25.866629367651250,17.531472485374323,12.158647442884668,,0.5948,0.5486,
0.56,20.862052039503489,25.919632703702703,17.619020086189497,12.157737499223412,,0.5940,0.5496,
0.564,20.765893196674632,25.974098978438619,17.708272605203412,12.155086817257388,,0.5933,0.5508,
0.568,20.665856582242881,26.029394980385447,17.800224287507667,12.149173617857375,,0.5925,0.5519,
0.572,20.564689909812166,26.085477343510743,17.894533560438724,12.141802230674791,,0.5917,0.5531,
0.576,20.462564929100566,26.142688062840065,17.990040780127828,12.136796423436152,,0.5909,0.5543,
0.58,20.360486265768678,26.199687331348663,18.083625062170043,12.135658570636117,,0.5901,0.5555,
0.584,20.260411051511237,26.253901232987239,18.172283711099681,12.136613576795321,,0.5893,0.5566,
0.588,20.161623422525551,26.304519019185783,18.257112461424093,12.136151012039868,,0.5885,0.5576,
0.592,20.062387661805115,26.353030127068948,18.341773220559734,12.131203278179632,,0.5878,0.5587,
0.596,19.963519218695566,26.400719978967839,18.426776858480828,12.121664969943563,,0.5871,0.5599,
0.6001000000238419,19.867109085483605,26.448659147439635,18.512394769747385,12.110243887167421,,0.5864,0.5610,
0.6041000000238419,19.773504811695034,26.497137204912526,18.599918956649205,12.099303737835683,,0.5857,0.5621,
0.6081000000238419,19.681977631802873,26.544658350913590,18.686326310225326,12.089270448179123,,0.5850,0.5631,
0.6121000000238419,19.591313757496014,26.589200146443005,18.770242351283429,12.080237298473238,,0.5843,0.5642,
0.6161000000238419,19.500821492063210,26.628881038261042,18.854084162189345,12.073541512223155,,0.5835,0.5652,
0.6201000000238419,19.411731039727073,26.663133219108140,18.935596447232708,12.071221515424256,,0.5828,0.5662,
0.6241000000238418,19.325655719340869,26.692222507864585,19.011478195123033,12.072480318938336,,0.5820,0.5670,
0.6281000000238418,19.241001676575827,26.715346573510132,19.084760550605978,12.073427641768360,,0.5813,0.5679,
0.6321000000238418,19.155050006345967,26.732001386605425,19.159518451572595,12.071935375338118,,0.5805,0.5687,
0.6361000000238418,19.069209134212720,26.742780951469477,19.234294455796352,12.069288554695110,,0.5797,0.5695,
0.6401000000238418,18.982733619739790,26.748593846461105,19.306769628914768,12.068157113643595,,0.5788,0.5703,
0.6441000000238418,18.891913613299440,26.749891793452370,19.377589493213996,12.069399486174504,,0.5780,0.5711,
0.6481000000238418,18.799554637058687,26.747113124870811,19.447079809050784,12.072299726727053,,0.5771,0.5718,
0.6521000000238418,18.710819352173594,26.743433044514298,19.516731740650755,12.077070863034495,,0.5762,0.5725,
0.6561000000238418,18.626894511756092,26.742563036614012,19.589453232785608,12.083145433827685,,0.5753,0.5733,
0.6601000000238418,18.549039369413137,26.744564128161450,19.664338333115452,12.089443064328378,,0.5744,0.5739,
0.6641000000238418,18.476991968413596,26.748275725109444,19.738889897044352,12.097817790142518,,0.5736,0.5746,
0.6681000000238418,18.407699667227440,26.754529086308729,19.812920103165112,12.109958704367187,,0.5727,0.5752,
0.6721000000238418,18.341424630782505,26.763781803145712,19.886166542945233,12.123947778862707,,0.5719,0.5758,
0.6761000000238419,18.280958231484888,26.774586511976537,19.957033713712370,12.138261817481276,,0.5711,0.5764,
0.68,18.226711155482288,26.785383166140008,20.024152964959029,12.153885665149053,,0.5704,0.5769,
0.684,18.176592516985252,26.794917906894753,20.087848814729554,12.171208523905676,,0.5697,0.5773,
0.688,18.129461034936799,26.803212884751062,20.148067351281426,12.189108716995129,,0.5690,0.5778,
0.692,18.085366762246657,26.811168813932422,20.204193634090597,12.208130479266831,,0.5684,0.5781,
0.696,18.043872783141637,26.817741136223923,20.257754953980246,12.229778007019963,,0.5677,0.5785,
0.7,18.005948945813834,26.819536239765625,20.309960891593462,12.253575244334840,,0.5671,0.5788,
0.704,17.972555057246183,26.813966357064757,20.362903148604293,12.280994609848385,,0.5664,0.5790,
0.708,17.942783817919604,26.800747035876348,20.420341502041431,12.315421570426764,,0.5656,0.5791,
0.712,17.916260656289694,26.779366676277945,20.482493549707069,12.356169483562557,,0.5648,0.5792,
0.716,17.892165298966653,26.748443666075033,20.548060567169806,12.401728143964341,,0.5638,0.5792,
0.7201000000238419,17.869337303605121,26.705850768528443,20.616534471159316,12.454676604417390,,0.5627,0.5791,
0.7241000000238419,17.848409173166161,26.649040988158823,20.686236554174783,12.517512115942639,,0.5615,0.5789,
0.7281000000238419,17.830298382986474,26.578128286170099,20.755470387396603,12.589258189147944,,0.5602,0.5786,
0.7321000000238419,17.816297485503068,26.494297342501696,20.823334981838627,12.669963058368340,,0.5589,0.5782,
0.7361000000238419,17.809070931497534,26.397747200392494,20.888286340855721,12.760110966322955,,0.5574,0.5776,
0.7401000000238419,17.810680940980500,26.291181020487294,20.948582646046418,12.856385989967425,,0.5560,0.5768,
0.7441000000238419,17.823031742429137,26.176682828108731,21.001500543401182,12.958353448645097,,0.5545,0.5760,
0.7481000000238418,17.848877822614782,26.053675970653764,21.043520884198315,13.069448110790550,,0.5531,0.5749,
0.7521000000238418,17.889137965032461,25.924300893824697,21.073715047882718,13.189076269056443,,0.5518,0.5737,
0.7561000000238418,17.941985453234309,25.791928329629016,21.092309420268009,13.313896150547770,,0.5505,0.5723,
0.7601000000238418,18.007633334196662,25.652726633593101,21.095857330031215,13.443324151421642,,0.5494,0.5707,
0.7641000000238418,18.089459544502770,25.498278063615242,21.078948855984304,13.576919281157313,,0.5483,0.5688,
0.7681000000238418,18.187169686080679,25.328251852228632,21.040956909034410,13.709656701982444,,0.5474,0.5668,
0.7721000000238418,18.301381795318623,25.143933819318367,20.980792112369471,13.838046137595420,,0.5467,0.5646,
0.7761000000238418,18.436579068539707,24.942085013153413,20.893090601253682,13.963880915039965,,0.5461,0.5620,
